iteration,time,total_mass,phi_min,phi_max
0,0.0,-0.0,-0.20465995296739892,-0.1961682098375989
2000,40.000000000000654,-0.0,-0.3061651805473731,-0.10220948609673648
4000,80.00000000000122,-0.0,-0.3479474558488605,-0.0616564158238406
6000,119.99999999999326,-0.0,-0.39526741357888157,0.0023430293897505196
8000,160.00000000000804,-0.0,-0.47087173077498207,0.04724895043049709
10000,200.0000000000285,-0.0,-0.49984282538758407,0.14451722783615437
12000,240.00000000004897,-0.0,-0.6065860001360597,0.2844118841296171
14000,280.0000000000353,-0.0,-0.7432674062545772,0.44034338001249246
16000,319.9999999999989,-0.0,-0.7890043325196723,0.572988849145877
18000,359.99999999996254,-0.0,-0.8671804432037391,0.6886201033201493
20000,399.99999999992616,-0.0,-0.9141773178025732,0.7918257469113695
22000,439.9999999998898,-0.0,-0.9623707373606757,0.8347866248258342
24000,479.9999999998534,-0.0,-0.9765912865527697,0.8676891986737104
26000,519.9999999998171,-0.0,-0.9917054889940862,0.8942719426822862
28000,559.9999999997807,-0.0,-0.9737257747269966,0.9087890786262012
30000,599.9999999997443,-0.0,-1.0113041928454436,0.9372446350288063
32000,639.9999999997079,-0.0,-0.9968234504999527,0.9458343228575297
34000,679.9999999996716,-0.0,-1.0057559236330922,0.9532959048892007
36000,719.9999999996352,-0.0,-0.9998355988277869,0.9748863272401856
38000,759.9999999995988,-0.0,-1.0041438053932286,0.986089394589026
40000,799.9999999995624,-0.0,-1.0192537780296496,1.0017631443667243
42000,839.999999999526,-0.0,-1.0191118747609724,0.9905195429322956
44000,879.9999999994897,-0.0,-1.008537385351218,1.0162486563559925
46000,919.9999999994533,-0.0,-1.0125260920337669,0.9932918050612535
48000,959.9999999994169,-0.0,-1.0103798888763436,1.0245020332814734
50000,999.9999999993805,-0.0,-1.0234026505917597,1.0240012960949714
52000,1039.9999999993443,-0.0,-1.0069323811814965,1.0271273699951502
54000,1079.9999999993079,-0.0,-1.0289619504071292,1.0309046518501601
56000,1119.9999999992715,-0.0,-1.0234848077685377,1.0345087606177334
58000,1159.9999999992351,-0.0,-1.0240524840145244,1.036579116170222
60000,1199.9999999991987,-0.0,-1.014545007255098,1.0450250382324382
62000,1239.9999999991624,-0.0,-1.0211197179344758,1.041406014301381
64000,1279.999999999126,-0.0,-1.0127727842874696,1.0531302732618901
